Gene,MW,kdeg_value,vsyn,Mean,Std
YDL174C,65291.87,0.3329604881612115,1.8061555762770368e-07,1.7114015449142952e-07,6.177344066719682e-08
YEL039C,12532.109999999999,0.0470073191157501,7.587445351083183e-05,6.324988685162334e-05,1.930636822112114e-05
YJR048W,12181.769999999997,0.305311363956955,3.477918769012623e-06,2.8362379094471515e-06,1.0856094515428635e-06
YEL071W,55224.37999999999,0.2643814362689084,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YDL178W,59267.719999999994,0.3012413555890946,5.7378183179046494e-08,5.628742084737199e-08,2.38338815741489e-08
YAL060W,41581.549999999996,0.2244226886427133,7.981254365509547e-07,6.497947375332065e-07,1.570077378057462e-07
YML054C,65538.73,0.1011073591715465,7.403110488512866e-07,5.894181845756091e-07,1.9105483627748042e-07
YGR032W,216987.7,0.2892641461349676,1.1370402447661758e-07,7.250213303509636e-08,2.2671860530120637e-08
YMR306W,207481.01999999996,0.2892641461349676,2.670114908655422e-09,2.790023306389231e-09,7.00856771091196e-10
YCR034W,40001.63,0.3467348458886976,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YLR342W,214848.84999999998,0.4787245213465835,1.1067839297868751e-08,9.833333598730087e-09,2.952456192676016e-09
YGR143W,86240.26,0.2892641461349676,2.212189354067626e-07,1.8970845085127853e-07,4.456423865536722e-08
YPR159W,80122.06999999999,0.4934473613990241,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YIL020C,29556.230000000003,0.4260028970430262,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YHR037W,64434.439999999995,0.2115951270011199,6.054298788803651e-10,5.398730308810021e-10,1.3470666480968252e-10
YEL038W,25187.14,0.2962979416559739,3.73186394514221e-08,4.003239045957528e-08,2.0622874958164962e-08
YMR009W,20879.099999999995,0.354212497432768,1.810137335821983e-08,2.1160985620862083e-08,7.801599510539112e-09
YOL066C,67035.04999999999,0.3432774932769563,2.0178827338773427e-08,1.7398733717275934e-08,5.7314057056744595e-09
YBR153W,27115.93,0.2892641461349676,8.042045564901792e-08,4.571759004820193e-08,1.2798993315772948e-08
YCL009C,33986.52,0.3295645648868627,9.644370924988047e-07,5.756752364704661e-07,1.3797958021106018e-07
YMR108W,74936.08,0.4931750189486573,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YNL256W,93119.04,0.4533203477546321,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YER152C,49489.759999999995,0.0380523309136134,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YGL202W,56177.280000000006,0.2981985258593911,1.1693237663175513e-05,6.711075243387467e-06,2.033668898243732e-06
YJL060W,50081.68000000001,0.1440329657502037,3.081993441697015e-08,1.9794108761467548e-08,5.756189651049201e-09
YHR063C,42820.78999999999,0.2766680753440001,5.83542950379485e-07,4.4027539289110453e-07,1.149201195815167e-07
YDR035W,41069.52,0.326516719440899,6.182524341499802e-05,3.8261866480978844e-05,1.836619594489447e-05
YBR249C,39748.74,0.4148508381971575,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YDR204W,38626.850000000006,0.3124087702235761,1.5745397452337654e-07,9.400541098721643e-08,6.12009689688446e-08
YGL119W,56741.039999999986,0.072201101490271,3.008476691011581e-08,2.3775104782674546e-08,1.1147553584734084e-08
YGR255C,53527.05,0.1777827069398908,8.638819952965157e-06,2.4228461277826817e-09,2.5330843507173172e-09
YLR201C,29958.179999999993,0.3131688135837309,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YML110C,34684.17,0.2368262590202025,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YOL096C,36330.520000000004,0.1202062843889433,2.9119831969345783e-08,3.196196702055616e-08,1.525483917918238e-08
YOR125C,26059.429999999997,0.1344101915937406,7.385813680834135e-09,6.0287965414806454e-09,1.8713817345787816e-09
YGL009C,85793.56,0.4602200593298558,8.638819952965157e-06,6.88967652961069e-06,2.1635894975417845e-06
YNL104C,68408.19,0.2762934810930835,8.33120996646897e-08,5.2414504063809524e-08,1.486627245439502e-08
YOR108W,67199.51,0.3733265170049051,1.0456206914662909e-07,1.4397016090345726e-07,8.045234431482693e-08
YHR208W,43595.53,0.3841861812349962,3.560840988072759e-08,2.1945717743339143e-08,9.020455905945548e-09
