Gene,MW,kdeg_value,vsyn,Mean,Std
YDL174C,65291.87,0.1056093601157381,3.803299614180081e-07,3.4717217231194704e-07,1.3895360416506995e-07
YEL039C,12532.109999999999,0.0470073191157501,7.587445351083183e-05,6.324988685162334e-05,1.930636822112114e-05
YJR048W,12181.769999999997,0.1051655163971701,6.8707452634055e-06,5.531865264009326e-06,2.456201627946031e-06
YEL071W,55224.37999999999,0.044707087604057,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YDL178W,59267.719999999994,0.0766727656940819,1.303115390170812e-07,1.2472075389106235e-07,5.9419632389203514e-08
YAL060W,41581.549999999996,0.1056021840780762,1.2593737812710826e-06,1.0097076613449374e-06,2.969177617435503e-07
YML054C,65538.73,0.1011073591715465,7.403110488512866e-07,5.894181845756091e-07,1.9105483627748042e-07
YGR032W,216987.7,0.12591655498441048,1.959170278736512e-07,1.2176934241605446e-07,4.19924237779617e-08
YMR306W,207481.01999999996,0.12591655498441048,4.6007252548257165e-09,4.6158505931773615e-09,1.1235516973013622e-09
YCR034W,40001.63,0.0203607816691986,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YLR342W,214848.84999999998,0.4787245213465835,1.1067839297868751e-08,9.833333598730087e-09,2.952456192676016e-09
YGR143W,86240.26,0.12591655498441048,3.811699412906781e-07,3.1506531668608163e-07,7.646419082231724e-08
YPR159W,80122.06999999999,0.2497442486564037,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YIL020C,29556.230000000003,0.0577403237236471,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YHR037W,64434.439999999995,0.0936287583437449,9.74281928023809e-10,8.458663181501056e-10,2.393589291965873e-10
YEL038W,25187.14,0.0505222940093825,9.825321954685424e-08,1.0127740845138961e-07,5.7707357001844136e-08
YMR009W,20879.099999999995,0.1432442205707401,3.380088530246877e-08,3.885281465567669e-08,1.5838474138339576e-08
YOL066C,67035.04999999999,0.0485019495015048,6.023368736926487e-08,4.9918848597254065e-08,2.0409425794578835e-08
YBR153W,27115.93,0.12591655498441048,1.3856797702213636e-07,7.61040897755228e-08,2.237850319279498e-08
YCL009C,33986.52,0.0622947254455369,2.5526892439830234e-06,1.4597806367660204e-06,4.7338766579454616e-07
YMR108W,74936.08,0.0819390222435466,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YNL256W,93119.04,0.0868245243809173,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YER152C,49489.759999999995,0.0380523309136134,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YGL202W,56177.280000000006,0.0552460381985442,2.999258502200968e-05,1.639483075002438e-05,5.926763900613533e-06
YJL060W,50081.68000000001,0.0560570107787718,4.819443844571628e-08,3.0308861134419605e-08,1.0001365010204709e-08
YHR063C,42820.78999999999,0.0586900570315695,1.3851025332751187e-06,1.0109895519948028e-06,3.426535671501837e-07
YDR035W,41069.52,0.044972965539074,0.0001818925335626988,0.00011349407346515774,6.545354735200199e-05
YBR249C,39748.74,0.0499024970111616,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YDR204W,38626.850000000006,0.0826833409668897,3.5545331969689106e-07,2.06811063743025e-07,1.4159433799746335e-07
YGL119W,56741.039999999986,0.072201101490271,3.008476691011581e-08,2.3775104782674546e-08,1.1147553584734084e-08
YGR255C,53527.05,0.0970818573011967,1.3767981305959113e-05,3.4033762578543876e-09,3.5923659281529863e-09
YLR201C,29958.179999999993,0.0741710687846708,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YML110C,34684.17,0.0859797841013529,1.3767981305959113e-05,1.0866759751631349e-05,3.524867008703038e-06
YOL096C,36330.520000000004,0.1202062843889433,2.9119831969345783e-08,3.196196702055616e-08,1.525483917918238e-08
YOR125C,26059.429999999997,0.0858146745312109,9.317401891792973e-09,7.493328379253854e-09,2.454145814840321e-09
