gene,rxnID,kcat_value1
Yarrowia_lipolytica_Seq_4272,r_0001_1,46905.10818
Yarrowia_lipolytica_Seq_4472,r_0001_2,19195.51687
Yarrowia_lipolytica_Seq_4472,r_0002,10356.07115
Yarrowia_lipolytica_Seq_2511,r_0005_1,18632.2504
Yarrowia_lipolytica_Seq_5475,r_0005_1,18632.2504
Yarrowia_lipolytica_Seq_5475,r_0005_2,2709.121228
Yarrowia_lipolytica_Seq_426,r_0005_2,2709.121228
Yarrowia_lipolytica_Seq_2511,r_0005_3,3638.237842
Yarrowia_lipolytica_Seq_426,r_0005_4,29758.9434
Yarrowia_lipolytica_Seq_2502,r_0012_fwd,41406.16231
Yarrowia_lipolytica_Seq_2502,r_0012_rvs,20985.00772
Yarrowia_lipolytica_Seq_3030,r_0016_1,111812.0111
Yarrowia_lipolytica_Seq_5870,r_0016_1,55906.00554
Yarrowia_lipolytica_Seq_5870,r_0016_2,480806.8589
Yarrowia_lipolytica_Seq_587,r_0018_1_fwd,106637.7745
Yarrowia_lipolytica_Seq_587,r_0018_1_rvs,74755.7073
Yarrowia_lipolytica_Seq_286,r_0018_2_fwd,167886.6287
Yarrowia_lipolytica_Seq_286,r_0018_2_rvs,69636.16258
Yarrowia_lipolytica_Seq_3809,r_0018_3_fwd,16927.70398
Yarrowia_lipolytica_Seq_3809,r_0018_3_rvs,4144.744
Yarrowia_lipolytica_Seq_1158,r_0020_1,10481.48903
Yarrowia_lipolytica_Seq_698,r_0020_2,2540.419218
Yarrowia_lipolytica_Seq_2557,r_0021,121099.6883
Yarrowia_lipolytica_Seq_485,r_0021,121099.6883
Yarrowia_lipolytica_Seq_2557,r_0022,252873.4764
Yarrowia_lipolytica_Seq_485,r_0022,252873.4764
Yarrowia_lipolytica_Seq_3488,r_0023_fwd,358222.0226
Yarrowia_lipolytica_Seq_3488,r_0023_rvs,87665.36223
Yarrowia_lipolytica_Seq_4811,r_0024,5378.970007
Yarrowia_lipolytica_Seq_4811,r_0025,20416.93971
Yarrowia_lipolytica_Seq_6320,r_0026_1,24643.91041
Yarrowia_lipolytica_Seq_286,r_0026_2,14152.92226
Yarrowia_lipolytica_Seq_5497,r_0026_3,32010.75127
Yarrowia_lipolytica_Seq_1075,r_0027_fwd,14092.3087
Yarrowia_lipolytica_Seq_1075,r_0027_rvs,31512.83449
Yarrowia_lipolytica_Seq_1268,r_0028,7602.653426
Yarrowia_lipolytica_Seq_6320,r_0029,14359.26242
Yarrowia_lipolytica_Seq_6320,r_0030,17734.39937
Yarrowia_lipolytica_Seq_6248,r_0032,40520.67972
Yarrowia_lipolytica_Seq_4642,r_0033_2,44325.78118
Yarrowia_lipolytica_Seq_4642,r_0034,57820.28148
Yarrowia_lipolytica_Seq_4642,r_0035,21724.16461
Yarrowia_lipolytica_Seq_4642,r_0036,44588.00808
Yarrowia_lipolytica_Seq_4642,r_0037,17206.64036
Yarrowia_lipolytica_Seq_5905,r_0039,160386.0688
Yarrowia_lipolytica_Seq_5905,r_0040,38657.37604
Yarrowia_lipolytica_Seq_698,r_0042_1,4660.747678
Yarrowia_lipolytica_Seq_1158,r_0042_2,19701.51602
Yarrowia_lipolytica_Seq_1117,r_0045,2889.338437
Yarrowia_lipolytica_Seq_3436,r_0057,16492.09166
Yarrowia_lipolytica_Seq_3488,r_0060_fwd,93448.70375
Yarrowia_lipolytica_Seq_3488,r_0060_rvs,50295.05392
Yarrowia_lipolytica_Seq_2422,r_0061,7726.284954
