gene,rxnID,kcat_value1
Kluyveromyces_lactis_Seq_1887,r_0001_1,231445.0528
Kluyveromyces_lactis_Seq_2031,r_0001_1,115722.5264
Kluyveromyces_lactis_Seq_2031,r_0001_2,64697.2322
Kluyveromyces_lactis_Seq_2132,r_0001_2,129394.4644
Kluyveromyces_lactis_Seq_2031,r_0001_3,71704.87751
Kluyveromyces_lactis_Seq_2792,r_0001_3,143409.755
Kluyveromyces_lactis_Seq_2031,r_0001_4,23141.98372
Kluyveromyces_lactis_Seq_3211,r_0001_4,46283.96743
Kluyveromyces_lactis_Seq_2031,r_0002,53766.61265
Kluyveromyces_lactis_Seq_2132,r_0002,107533.2253
Kluyveromyces_lactis_Seq_802,r_0003_fwd,86946.14553
Kluyveromyces_lactis_Seq_802,r_0003_rvs,181391.4691
Kluyveromyces_lactis_Seq_2031,r_0004,145541.4937
Kluyveromyces_lactis_Seq_2166,r_0005_1,52867.00685
Kluyveromyces_lactis_Seq_4449,r_0005_1,52867.00685
Kluyveromyces_lactis_Seq_4449,r_0005_2,7012.625888
Kluyveromyces_lactis_Seq_4857,r_0005_2,7012.625888
Kluyveromyces_lactis_Seq_4449,r_0005_3,4381.675148
Kluyveromyces_lactis_Seq_97,r_0005_3,4381.675148
Kluyveromyces_lactis_Seq_2166,r_0005_4,121247.6258
Kluyveromyces_lactis_Seq_4857,r_0005_5,26412.39692
Kluyveromyces_lactis_Seq_97,r_0005_6,13514.39676
Kluyveromyces_lactis_Seq_1060,r_0006,24211.43447
Kluyveromyces_lactis_Seq_728,r_0007,63035.9893
Kluyveromyces_lactis_Seq_1741,r_0012_fwd,6885.348967
Kluyveromyces_lactis_Seq_1741,r_0012_rvs,4926.584365
Kluyveromyces_lactis_Seq_2873,r_0013,402404.7072
Kluyveromyces_lactis_Seq_3886,r_0013,402404.7072
Kluyveromyces_lactis_Seq_4553,r_0014,6992.224977
Kluyveromyces_lactis_Seq_735,r_0015,296014.2336
Kluyveromyces_lactis_Seq_160,r_0016_1,481725.3159
Kluyveromyces_lactis_Seq_2321,r_0016_1,240862.658
Kluyveromyces_lactis_Seq_2321,r_0016_2,1387501.997
Kluyveromyces_lactis_Seq_4338,r_0017,1804.148749
Kluyveromyces_lactis_Seq_3205,r_0018_1_fwd,45689.95397
Kluyveromyces_lactis_Seq_3205,r_0018_1_rvs,18056.87376
Kluyveromyces_lactis_Seq_886,r_0018_2_fwd,224812.5654
Kluyveromyces_lactis_Seq_886,r_0018_2_rvs,243015.5331
Kluyveromyces_lactis_Seq_4311,r_0018_3_fwd,2573.250658
Kluyveromyces_lactis_Seq_4311,r_0018_3_rvs,6450.774547
Kluyveromyces_lactis_Seq_4016,r_0019,10132.98723
Kluyveromyces_lactis_Seq_4474,r_0020,14547.63665
Kluyveromyces_lactis_Seq_221,r_0021,252586.2625
Kluyveromyces_lactis_Seq_2350,r_0021,505172.5249
Kluyveromyces_lactis_Seq_2723,r_0021,505172.5249
Kluyveromyces_lactis_Seq_2859,r_0021,505172.5249
Kluyveromyces_lactis_Seq_3021,r_0021,505172.5249
Kluyveromyces_lactis_Seq_3760,r_0021,505172.5249
Kluyveromyces_lactis_Seq_3979,r_0021,505172.5249
Kluyveromyces_lactis_Seq_221,r_0022,554316.0871
Kluyveromyces_lactis_Seq_2350,r_0022,1108632.174
Kluyveromyces_lactis_Seq_2723,r_0022,1108632.174
Kluyveromyces_lactis_Seq_2859,r_0022,1108632.174
Kluyveromyces_lactis_Seq_3021,r_0022,1108632.174
Kluyveromyces_lactis_Seq_3760,r_0022,1108632.174
Kluyveromyces_lactis_Seq_3979,r_0022,1108632.174
Kluyveromyces_lactis_Seq_1976,r_0023_fwd,24449.78987
Kluyveromyces_lactis_Seq_1976,r_0023_rvs,24740.61855
Kluyveromyces_lactis_Seq_636,r_0026_1,62596.5892
