gene,rxnID,kcat_value1
Kluyveromyces_marxianus_Seq_1860,r_0001_1,33881.1606
Kluyveromyces_marxianus_Seq_692,r_0001_1,67762.32121
Kluyveromyces_marxianus_Seq_1860,r_0001_2,19916.64087
Kluyveromyces_marxianus_Seq_402,r_0001_2,39833.28175
Kluyveromyces_marxianus_Seq_1860,r_0001_3,5351.559228
Kluyveromyces_marxianus_Seq_1860,r_0001_4,39559.96755
Kluyveromyces_marxianus_Seq_602,r_0001_4,79119.93509
Kluyveromyces_marxianus_Seq_1860,r_0002,136331.2077
Kluyveromyces_marxianus_Seq_692,r_0002,272662.4155
Kluyveromyces_marxianus_Seq_1860,r_0004,1971.604439
Kluyveromyces_marxianus_Seq_4044,r_0004,985.8022194
Kluyveromyces_marxianus_Seq_1065,r_0005_1,306295.7559
Kluyveromyces_marxianus_Seq_1065,r_0005_2,10786.20526
Kluyveromyces_marxianus_Seq_1065,r_0005_3,34314.11254
Kluyveromyces_marxianus_Seq_885,r_0005_3,34314.11254
Kluyveromyces_marxianus_Seq_885,r_0005_6,61876.64263
Kluyveromyces_marxianus_Seq_3613,r_0007,5329.503445
Kluyveromyces_marxianus_Seq_4487,r_0012_fwd,3735.343047
Kluyveromyces_marxianus_Seq_4487,r_0012_rvs,3394.804249
Kluyveromyces_marxianus_Seq_4693,r_0015,163835.8013
Kluyveromyces_marxianus_Seq_2148,r_0016_1,208462.4426
Kluyveromyces_marxianus_Seq_4444,r_0016_1,104231.2213
Kluyveromyces_marxianus_Seq_4444,r_0016_2,10157.74067
Kluyveromyces_marxianus_Seq_1041,r_0018_2_fwd,12921.18869
Kluyveromyces_marxianus_Seq_1041,r_0018_2_rvs,29416.65678
Kluyveromyces_marxianus_Seq_180,r_0018_3_fwd,13662.21343
Kluyveromyces_marxianus_Seq_180,r_0018_3_rvs,7837.397481
Kluyveromyces_marxianus_Seq_3345,r_0020,6387.847681
Kluyveromyces_marxianus_Seq_1615,r_0021,132015.8706
Kluyveromyces_marxianus_Seq_2245,r_0021,132015.8706
Kluyveromyces_marxianus_Seq_3786,r_0021,66007.93532
Kluyveromyces_marxianus_Seq_1615,r_0022,2155824.396
Kluyveromyces_marxianus_Seq_2245,r_0022,2155824.396
Kluyveromyces_marxianus_Seq_3786,r_0022,1077912.198
Kluyveromyces_marxianus_Seq_3959,r_0023_fwd,981734.2499
Kluyveromyces_marxianus_Seq_3959,r_0023_rvs,175233.1703
Kluyveromyces_marxianus_Seq_2688,r_0024_1,16074.36296
Kluyveromyces_marxianus_Seq_580,r_0024_2,22251.62032
Kluyveromyces_marxianus_Seq_2688,r_0025_1,35065.61255
Kluyveromyces_marxianus_Seq_580,r_0025_2,14737.5216
Kluyveromyces_marxianus_Seq_2887,r_0026_1,188116.4412
Kluyveromyces_marxianus_Seq_1041,r_0026_2,26173.64894
Kluyveromyces_marxianus_Seq_1739,r_0026_3,80219.59252
Kluyveromyces_marxianus_Seq_4609,r_0027_fwd,33824.34814
Kluyveromyces_marxianus_Seq_4609,r_0027_rvs,1486.79498
Kluyveromyces_marxianus_Seq_2839,r_0028,12422.94617
Kluyveromyces_marxianus_Seq_2887,r_0029,204708.9506
Kluyveromyces_marxianus_Seq_2887,r_0030,61223.53382
Kluyveromyces_marxianus_Seq_3070,r_0032,14704.47907
Kluyveromyces_marxianus_Seq_790,r_0038,11319.09809
Kluyveromyces_marxianus_Seq_3112,r_0039,59680.5748
Kluyveromyces_marxianus_Seq_3112,r_0040,62142.5614
Kluyveromyces_marxianus_Seq_3345,r_0042,1278.674916
Kluyveromyces_marxianus_Seq_12,r_0043_2,316698.3714
Kluyveromyces_marxianus_Seq_3059,r_0057,72226.60948
Kluyveromyces_marxianus_Seq_3959,r_0060_fwd,441633.1191
Kluyveromyces_marxianus_Seq_3959,r_0060_rvs,7405972.882
Kluyveromyces_marxianus_Seq_144,r_0061,55547.37276
Kluyveromyces_marxianus_Seq_218,r_0062,46235.65603
Kluyveromyces_marxianus_Seq_218,r_0064,35726.85247
Kluyveromyces_marxianus_Seq_3112,r_0065,64956.6451
Kluyveromyces_marxianus_Seq_826,r_0068,240045.0777
Kluyveromyces_marxianus_Seq_4192,r_0069,11026.12584
Kluyveromyces_marxianus_Seq_218,r_0072,65147.75256
Kluyveromyces_marxianus_Seq_994,r_0073_1_fwd,44753.23662
Kluyveromyces_marxianus_Seq_994,r_0073_1_rvs,111073.5223
Kluyveromyces_marxianus_Seq_1720,r_0073_2_fwd,1746059.633
Kluyveromyces_marxianus_Seq_1720,r_0073_2_rvs,3396022.316
Kluyveromyces_marxianus_Seq_3956,r_0075,19525.1562
Kluyveromyces_marxianus_Seq_4611,r_0079,91733.95473
Kluyveromyces_marxianus_Seq_1357,r_0080_1,32623.01047
Kluyveromyces_marxianus_Seq_4608,r_0080_2,87353.79979
Kluyveromyces_marxianus_Seq_3642,r_0081,1454.140554
Kluyveromyces_marxianus_Seq_1720,r_0082,4481084.005
Kluyveromyces_marxianus_Seq_4827,r_0085,1255.018051
Kluyveromyces_marxianus_Seq_2505,r_0087_fwd,7647.84151
Kluyveromyces_marxianus_Seq_2505,r_0087_rvs,30779.05855
Kluyveromyces_marxianus_Seq_994,r_0088_fwd,146409.8531
Kluyveromyces_marxianus_Seq_994,r_0088_rvs,340416.6348
Kluyveromyces_marxianus_Seq_994,r_0089_fwd,144822.3154
Kluyveromyces_marxianus_Seq_994,r_0089_rvs,476603.3338
Kluyveromyces_marxianus_Seq_1800,r_0091,199163.8386
Kluyveromyces_marxianus_Seq_994,r_0092_1_fwd,106750.4556
Kluyveromyces_marxianus_Seq_994,r_0092_1_rvs,196680.1176
Kluyveromyces_marxianus_Seq_1720,r_0092_2_fwd,1822635.697
Kluyveromyces_marxianus_Seq_1720,r_0092_2_rvs,760599.8423
Kluyveromyces_marxianus_Seq_218,r_0095,47941.03846
Kluyveromyces_marxianus_Seq_194,r_0096,12500.96097
Kluyveromyces_marxianus_Seq_2148,r_0097_1,163878.8071
Kluyveromyces_marxianus_Seq_4444,r_0097_1,81939.40353
