GO Term,Count
 cellular ion homeostasis,19
 carbohydrate metabolic process,18
 monocarboxylic acid metabolic process,18
 cofactor metabolic process,16
 nucleobase-containing small molecule metabolic process,15
 generation of precursor metabolites and energy,15
 cellular amino acid metabolic process,14
 transmembrane transport,12
 lipid metabolic process,12
 response to chemical,9
 ion transport,9
 other,4
 cellular respiration,4
 proteolysis involved in cellular protein catabolic process,3
 response to oxidative stress,3
 organelle fusion,3
 membrane fusion,3
 vacuole organization,3
 carbohydrate transport,3
 oligosaccharide metabolic process,3
 biological process unknown ,2
 peptidyl-amino acid modification,2
 response to osmotic stress,2
 nucleobase-containing compound transport,2
 protein complex biogenesis,2
 signaling,2
 protein glycosylation,2
 regulation of organelle organization,2
 tRNA aminoacylation for protein translation,1
 pseudohyphal growth,1
 invasive growth in response to glucose limitation,1
 DNA-templated transcription& termination,1
 protein acylation,1
 lipid transport,1
 cell wall organization or biogenesis,1
 chromatin organization,1
 histone modification,1
 mitochondrion organization,1
 mitochondrial translation,1
